#mjd mag magerr
55061.95573 17.72897 0.02791
55063.91987 17.7161 0.02826
55064.92128 17.73885 0.02973
55064.9656 17.71675 0.03054
55066.91014 17.44803 0.03274
55066.95474 17.45676 0.03252
55069.90324 17.93531 0.02023
55069.94786 17.97792 0.02022
55080.87449 17.81869 0.05187
55080.95988 17.75047 0.06786
55084.86328 17.98328 0.02773
55087.85609 17.91702 0.02127
55087.90101 17.94984 0.02061
55088.96983 17.87063 0.0225
55089.99042 17.86181 0.02513
55093.83741 17.98668 0.02039
55093.88196 17.98222 0.02022
55096.8292 17.95816 0.02099
55097.00858 17.98914 0.02464
55104.99862 18.02584 0.0272
55107.79764 17.99869 0.03903
55114.88125 18.0038 0.02356
55114.92522 18.06336 0.05468
55119.89538 17.98838 0.02333
55119.95365 17.96162 0.02424
55123.75696 17.93504 0.02131
55123.81523 17.96266 0.02129
55126.97957 17.98524 0.02989
55127.83329 17.9845 0.02237
55127.87706 17.94051 0.02452
55135.82555 18.03814 0.04192
55135.86926 17.97201 0.04713
55138.71472 17.9821 0.04207
55138.75871 17.94072 0.04714
55142.7036 17.92936 0.02412
55142.75219 17.92854 0.02577
55144.77886 17.97069 0.02464
55144.82305 17.9638 0.02563
55151.72943 17.93256 0.02349
55151.77257 17.96407 0.02188
55166.70473 18.0005 0.03966
55166.74897 17.98348 0.04822
55168.63378 17.99714 0.03555
55168.6775 17.91874 0.03413
55175.61224 17.97572 0.02318
55175.65684 18.00464 0.02228
55181.59421 17.98183 0.03318
55181.63825 17.98667 0.02744
55183.59204 18.02607 0.03147
55183.64253 17.97576 0.02403
55189.58054 17.95523 0.02724
55189.62557 17.98434 0.02447
55194.59026 17.94884 0.04669
55199.58559 17.90396 0.02263
55201.58642 17.87284 0.06539
55202.58667 18.04801 0.03304
55203.71441 17.87746 0.028
55203.75743 17.95378 0.0295
55207.63092 17.87981 0.02479
55207.67514 17.92592 0.02237
55209.5968 17.93077 0.02
55209.64149 17.95103 0.02068
55213.63312 17.85518 0.0361
55213.6798 17.85284 0.03861
55377.85123 17.89118 0.04073
55377.89535 17.86118 0.03416
55378.90615 17.77344 0.04082
55379.8591 17.93431 0.02921
55379.92482 17.91363 0.02489
55380.87684 17.89138 0.03531
55380.92078 17.83425 0.02908
55381.89606 17.91478 0.02403
55381.93934 17.92954 0.02273
55384.82671 17.88204 0.02151
55384.87028 17.8915 0.02056
55385.87021 17.94425 0.02015
55385.91339 17.8557 0.01978
55386.86524 17.86914 0.02258
55386.90867 17.85275 0.02092
55387.87002 17.87815 0.02039
55387.91342 17.83019 0.01958
55388.86609 17.79246 0.0272
55388.91005 17.84804 0.02126
55390.80957 17.8107 0.02728
55390.85393 17.78896 0.02595
55391.80613 17.82801 0.02955
55391.87538 17.77813 0.02327
55392.83258 17.8702 0.02457
55392.87538 17.80186 0.0229
55394.79908 17.88852 0.02643
55394.8431 17.87615 0.02293
55395.79551 17.88415 0.03095
55395.84215 17.92691 0.02186
55396.79527 17.87185 0.02795
55396.83932 17.84265 0.02125
55397.79163 17.92055 0.0348
55397.83526 17.92208 0.02333
55398.78764 17.84918 0.04014
55398.83124 17.87385 0.02679
55399.78802 17.94825 0.03973
55399.83261 17.86131 0.03017
55400.78534 17.9228 0.04071
55400.8289 17.86588 0.03272
55401.78133 17.93242 0.04568
55401.82518 17.81421 0.03707
55402.77979 17.88733 0.07139
55402.8246 17.88352 0.04305
55403.77642 18.04875 0.06225
55403.81973 17.93637 0.04872
55404.77424 17.9981 0.04937
55404.84266 17.87371 0.03635
55405.8416 17.92573 0.04041
55407.7691 17.91198 0.04884
55407.83003 17.86609 0.03946
55408.78389 17.93233 0.07411
55411.79896 17.87688 0.03277
55412.75232 17.97045 0.03904
55412.79539 17.9255 0.03319
55413.75577 18.07623 0.05911
55413.79945 17.96538 0.04983
55414.75161 17.9139 0.06789
55414.79555 17.91673 0.02994
55415.75266 17.91424 0.04245
55415.79727 17.90282 0.06261
55416.75096 17.89745 0.03916
55416.79342 17.90753 0.03452
55417.75979 17.89015 0.06374
55417.84511 17.92262 0.05302
55418.79843 17.83748 0.0352
55418.84121 17.93123 0.03243
55419.75121 17.92734 0.06239
55419.79504 17.87231 0.03454
55420.78929 17.89735 0.06344
55420.83264 17.91364 0.03846
55421.73664 17.79323 0.02726
